tanggal_cuaca,suhu,kelembaban,kecepatan_angin,curah_hujan,radiasi_matahari
2019-04-12,27.358335,86.37908,8.905908,6.3,19.29
2019-04-13,26.912497,84.82738,9.360001,8.2,18.07
2019-04-14,26.758339,88.26935,9.007196,13.900001,17.2
2019-04-15,26.558332,88.26054,12.43434,7.5,16.2
2019-04-16,26.941671,85.885796,10.948973,6.3999996,17.02
2019-04-17,27.112501,86.55209,11.592895,6.0999994,19.06
2019-04-18,26.243752,89.65095,11.808878,24.3,16.27
2019-04-19,26.929163,85.75885,9.9571085,8.6,16.02
2019-04-20,27.606249,81.88504,13.698934,4.2999997,19.49
2019-04-21,28.214584,77.38525,11.659777,1.4000001,21.19
2019-04-22,27.820833,80.972305,14.24163,4.0,17.64
2019-04-23,26.316666,89.580284,10.041354,7.9999995,11.7
2019-04-24,27.181253,86.12463,11.792404,11.2,19.1
2019-04-25,27.072916,86.71213,11.183201,12.299999,19.77
2019-04-26,26.266668,90.11259,9.339208,15.099999,11.71
2019-04-27,26.602081,88.760704,11.503113,6.6,13.95
2019-04-28,26.793753,88.411896,9.565437,9.1,13.64
2019-04-29,26.818754,88.580345,10.24578,8.900001,14.9
2019-04-30,26.829168,85.864815,16.595179,1.7000002,12.02
2019-05-01,27.581247,80.12295,11.043261,0.4,19.92
2019-05-02,27.597918,83.67127,10.594036,2.3,20.27
2019-05-03,27.164581,86.138306,9.346143,31.400002,19.31
2019-05-04,27.0375,84.89926,10.390226,4.2,19.22
2019-05-05,26.825003,85.909096,6.9527545,3.1000001,14.91
2019-05-06,27.510416,83.27361,7.10031,1.5000001,18.87
2019-05-07,27.125002,85.34016,9.531505,6.0999994,18.86
2019-05-08,26.860415,86.54093,10.464798,4.5,18.65
2019-05-09,26.441668,87.33845,8.654986,12.900001,15.88
2019-05-10,27.233332,85.93888,12.605142,2.2,18.32
2019-05-11,26.902084,86.41971,11.808878,4.9999995,14.64
2019-05-12,27.091665,83.73489,8.534353,5.0999994,19.48
2019-05-13,26.862501,84.199135,12.4811535,15.5,16.74
2019-05-14,26.637499,87.36016,10.948973,20.000002,16.06
2019-05-15,26.793753,86.33869,6.8399997,2.0,17.91
2019-05-16,26.966667,83.66435,10.594036,1.4,17.47
2019-05-17,27.256254,79.305214,8.404285,0.8000001,18.85
2019-05-18,27.408335,79.38051,9.178235,1.5,20.16
2019-05-19,27.420835,83.0731,8.699793,2.8000002,19.3
2019-05-20,27.864584,79.791504,10.495713,0.2,19.39
2019-05-21,27.8125,79.329094,10.630672,2.2,18.86
2019-05-22,27.833334,78.27236,10.086427,0.0,20.49
2019-05-23,27.643753,78.31201,14.044615,0.2,18.75
2019-05-24,27.802084,76.93136,8.669949,0.8000001,20.15
2019-05-25,27.893753,77.29456,8.287822,0.0,19.77
2019-05-26,28.037504,78.63414,11.304229,2.0,18.31
2019-05-27,28.312506,77.65155,13.722565,0.2,19.54
2019-05-28,28.081253,76.80642,10.105681,0.5,18.96
2019-05-29,27.764587,79.22184,11.183201,2.5,19.22
2019-05-30,27.5625,78.36853,10.495713,0.1,20.39
2019-05-31,28.054167,73.45846,10.446206,0.1,19.52
2019-06-01,27.866667,77.43001,6.924738,1.1000001,18.01
2019-06-02,27.289583,78.652054,10.823973,0.6,16.47
2019-06-03,27.47917,78.79537,11.090103,1.7,18.32
2019-06-04,28.137503,77.77189,10.028439,0.2,19.11
2019-06-05,27.822914,79.04827,10.315115,3.2000003,18.07
2019-06-06,26.65,86.26504,7.92,4.3,14.73
2019-06-07,26.745834,84.28334,9.107359,4.7,16.98
2019-06-08,27.514585,76.57644,11.841756,0.0,18.94
2019-06-09,27.560415,73.27181,13.450708,0.0,20.44
2019-06-10,28.081251,76.22077,11.966953,0.5,18.16
2019-06-11,28.312502,74.245575,13.32,0.0,19.45
2019-06-12,28.370832,75.070244,10.086427,0.6,18.72
2019-06-13,27.660416,83.5333,10.495713,6.9,14.62
2019-06-14,27.870834,81.9694,11.165805,3.3999996,18.07
2019-06-15,27.49375,81.63419,10.239453,2.3000002,18.79
2019-06-16,27.356253,77.78477,16.1198,0.0,20.04
2019-06-17,27.387499,72.44343,15.188415,0.0,17.55
2019-06-18,27.154167,71.61941,13.493999,0.1,20.38
2019-06-19,27.756254,71.58617,12.964998,0.0,20.22
2019-06-20,27.395836,70.98575,15.226764,0.0,20.2
2019-06-21,27.491669,70.30601,14.113653,0.0,19.66
2019-06-22,27.793753,72.53282,11.901798,0.8000001,17.25
2019-06-23,27.831251,73.03879,14.869351,0.5,17.61
2019-06-24,28.291666,63.972706,16.42247,0.0,20.41
2019-06-25,27.722916,66.145546,17.339897,0.0,19.37
2019-06-26,28.091667,67.8977,13.679999,0.4,19.54
2019-06-27,28.464584,64.54234,17.283749,0.1,19.08
2019-06-28,28.47083,58.87266,16.1198,0.0,20.61
2019-06-29,28.012499,61.799847,16.65754,0.0,19.97
2019-06-30,28.197916,66.299095,19.9954,0.0,20.05
2019-07-01,28.583334,64.67434,19.376562,0.0,19.44
2019-07-02,29.152079,63.149384,19.48661,0.0,19.38
2019-07-03,27.820833,77.0659,9.255571,6.8,16.28
2019-07-04,27.524996,78.81078,11.177405,3.8,17.58
2019-07-05,28.152082,75.16951,16.323528,1.1,18.84
2019-07-06,28.641668,68.86068,15.277749,0.2,18.4
2019-07-07,27.860418,71.01218,13.849476,2.6999998,18.78
2019-07-08,26.804163,79.255775,10.630672,4.5,17.19
2019-07-09,27.208336,70.2955,20.188908,0.0,20.16
2019-07-10,27.247917,67.94105,18.581022,0.0,17.97
2019-07-11,27.285414,68.888115,13.363711,0.1,19.82
2019-07-12,27.63125,68.441574,16.203999,0.0,19.24
2019-07-13,27.462496,66.32309,18.228943,0.0,18.72
2019-07-14,27.410416,61.489117,20.037485,0.0,19.54
2019-07-15,27.80208,57.452938,18.416384,0.0,21.43
2019-07-16,27.516668,56.561283,18.899143,0.0,20.92
2019-07-17,27.366669,58.407795,20.06334,0.0,21.28
2019-07-18,28.954163,58.197353,14.759999,0.8,17.21
2019-07-19,28.910418,63.935745,17.935081,0.0,18.4
2019-07-20,28.708336,67.78301,16.981165,0.0,18.42
2019-07-21,28.314585,69.39928,15.5843,0.3,18.63
2019-07-22,27.958334,61.379745,17.581125,0.0,20.79
2019-07-23,28.172915,58.498077,19.559633,0.0,20.4
2019-07-24,27.889587,62.417667,19.35314,0.1,21.01
2019-07-25,28.018751,69.70976,17.193533,0.1,20.43
2019-07-26,28.058332,68.74661,17.533146,0.2,20.02
2019-07-27,28.316666,69.92057,12.261158,0.2,19.65
2019-07-28,27.785418,70.746,16.56,0.2,18.97
2019-07-29,27.812502,63.026157,17.873556,0.0,20.14
2019-07-30,28.152084,62.956654,18.36353,0.1,21.36
2019-07-31,28.077082,60.062733,18.0036,0.0,21.51
2019-08-01,28.395834,62.437542,22.33161,0.0,20.36
2019-08-02,28.322916,62.000713,18.775301,0.0,19.18
2019-08-03,28.168749,57.177868,18.792551,0.2,19.29
2019-08-04,27.502083,52.214207,18.681883,0.0,21.28
2019-08-05,26.99375,54.67223,18.391735,0.0,19.53
2019-08-06,26.910416,61.744633,18.998314,0.0,20.88
2019-08-07,27.672913,60.39427,20.082708,0.0,21.59
2019-08-08,27.685415,65.37447,17.309973,0.0,18.26
2019-08-09,27.547915,69.35253,16.42247,0.1,19.36
2019-08-10,28.214586,67.11637,14.561099,0.3,18.22
2019-08-11,28.460417,62.343826,19.721298,0.0,19.56
2019-08-12,28.570831,65.10715,17.447933,0.0,20.55
2019-08-13,28.233332,66.33424,16.56,0.1,18.98
2019-08-14,28.077082,70.59525,11.525623,1.0000001,17.88
2019-08-15,28.254168,70.27761,12.429127,0.5,17.92
2019-08-16,28.206251,67.7415,11.726277,1.1,18.58
2019-08-17,28.168747,59.670364,20.570463,0.0,22.88
2019-08-18,27.702082,61.411633,17.731598,0.0,22.93
2019-08-19,27.889585,59.788864,19.486609,0.0,22.77
2019-08-20,28.620836,60.81455,19.602652,0.0,22.74
2019-08-21,27.775002,71.51429,11.609651,9.6,19.38
2019-08-22,27.577087,72.43736,16.520823,0.6,20.65
2019-08-23,27.824999,67.07757,17.418196,0.0,20.49
2019-08-24,27.918749,64.87329,17.28,0.1,22.05
2019-08-25,28.00625,66.97651,15.192682,0.1,20.58
2019-08-26,27.822916,75.21219,12.620554,2.1000004,18.43
2019-08-27,26.791666,81.63633,14.345898,8.799999,15.32
2019-08-28,27.089582,76.677605,13.441071,1.4000001,19.01
2019-08-29,27.658339,68.01321,17.518356,0.0,22.75
2019-08-30,27.585417,65.30953,22.039528,0.0,22.43
2019-08-31,27.445833,66.06644,17.026896,0.1,21.78
2019-09-01,28.091667,67.38253,13.979871,0.1,20.98
2019-09-02,28.383331,70.372574,13.441071,0.4,19.59
2019-09-03,28.358335,71.801384,14.917212,0.4,21.47
2019-09-04,27.458334,75.90421,10.853866,1.0,17.18
2019-09-05,27.6875,70.940735,17.643673,0.1,20.74
2019-09-06,27.668747,65.61381,19.0392,0.0,22.8
2019-09-07,28.177084,61.97078,18.64369,0.0,20.44
2019-09-08,28.387503,65.0714,21.349546,0.0,23.23
2019-09-09,29.772913,53.148132,19.734436,0.0,24.57
2019-09-10,28.341661,56.774445,18.532133,0.0,24.9
2019-09-11,27.664581,61.789368,15.941944,0.2,21.99
2019-09-12,27.699999,59.72542,17.771753,0.0,21.21
2019-09-13,27.502085,57.542526,19.881649,0.1,23.49
2019-09-14,27.147919,69.94216,17.106628,1.6,19.87
2019-09-15,27.466665,73.111595,18.581022,0.90000004,20.89
2019-09-16,28.129168,71.35085,17.595861,0.0,22.55
2019-09-17,28.574999,70.93602,17.114204,0.1,23.51
2019-09-18,28.53333,70.01568,19.694992,0.0,23.89
2019-09-19,28.625,61.848827,19.64558,0.1,24.02
2019-09-20,28.64167,59.955036,18.709612,0.0,23.5
2019-09-21,28.699999,61.77985,18.089775,0.2,24.61
2019-09-22,28.981249,64.84263,19.95972,0.3,22.65
2019-09-23,29.106245,62.765686,23.686249,0.0,23.93
2019-09-24,28.908335,66.21701,15.39184,0.5,22.44
2019-09-25,29.183329,66.06073,12.959999,0.0,20.93
2019-09-26,29.216665,63.43416,17.015474,0.1,22.46
2019-09-27,29.231255,67.49643,15.546833,0.3,21.43
2019-09-28,28.645834,69.44807,15.141414,1.3000001,20.81
2019-09-29,28.60417,70.95773,12.57426,0.6,20.9
2019-09-30,28.416664,68.763054,16.62249,0.0,22.85
2019-10-01,28.535416,70.07569,12.287555,3.0,22.06
2019-10-02,28.697914,69.95638,14.707222,1.1,21.89
2019-10-03,29.116667,65.11021,18.556595,0.1,20.79
2019-10-04,28.762499,59.46783,20.774214,0.0,25.18
2019-10-05,29.133331,57.08427,19.652176,0.0,23.5
2019-10-06,28.502083,64.964096,17.313717,0.8000001,21.9
2019-10-07,28.8125,65.63332,16.575644,2.8,23.07
2019-10-08,28.206247,76.30183,15.745627,1.5,22.26
2019-10-09,27.4625,80.6621,14.182355,4.1,20.89
2019-10-10,28.025,75.615204,10.966713,4.5,20.77
2019-10-11,27.79167,73.73897,11.966953,0.3,20.72
2019-10-12,28.212503,72.448364,13.039754,0.0,22.81
2019-10-13,28.822922,69.81294,15.629972,0.3,23.25
2019-10-14,28.893751,67.850266,13.75558,1.0,21.9
2019-10-15,28.933334,69.841484,12.849528,1.3000001,22.42
2019-10-16,28.18125,75.48843,11.384199,3.1000004,21.31
2019-10-17,27.604166,81.95842,9.885262,6.199999,19.14
